C:\Schneider\Soft\py\opc\venv\Scripts\python.exe C:/Schneider/Soft/py/opc/main.py
['Saturn.OPC.LanMon']
None
print(name, value, quality, time)
200.10.1.85 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.86 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.87 0.5001000165939331 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.88 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.89 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.90 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.91 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.92 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.93 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.94 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.95 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.96 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.97 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.98 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.99 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.100 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.101 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.102 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.103 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.104 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.105 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.106 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.107 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.108 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.109 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.110 0.0 Good 2022-06-17 10:26:41.861000+00:00
200.10.1.111 0.0 Good 2022-06-17 10:26:41.861000+00:00
